key,type,title,doi,url,status,source_url,file,notes
vinogradov2026shadow,inproceedings,Spatially Consistent Air-to-Ground Channel Modeling and Simulation via 3D Shadow Projections,10.1109/ICNC68183.2026.11416865,,downloaded,https://arxiv.org/pdf/2511.15412.pdf,C:\TFG\FINAL_THESIS\cited_papers\vinogradov2026shadow__Spatially_Consistent_Air_to_Ground_Channel_Modeling_and_Simulation_via_3D_Shadow_Projections.pdf,499938 bytes from https://arxiv.org/pdf/2511.15412.pdf
icassp2023challenge,inproceedings,The First Pathloss Radio Map Prediction Challenge,10.1109/ICASSP49357.2023.10433928,https://doi.org/10.1109/ICASSP49357.2023.10433928,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\icassp2023challenge__The_First_Pathloss_Radio_Map_Prediction_Challenge.pdf,273695 bytes
dataset2212,misc,Dataset of Pathloss and ToA Radio Maps With Localization Application,10.21227/0GTX-6V30,https://doi.org/10.21227/0GTX-6V30,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\dataset2212__Dataset_of_Pathloss_and_ToA_Radio_Maps_With_Localization_Application.pdf,886036 bytes
jaensch2024directiverme,misc,Radio Map Estimation: An Open Dataset with Directive Transmitter Antennas and Initial Experiments,10.48550/arXiv.2402.00878,https://arxiv.org/abs/2402.00878,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\jaensch2024directiverme__Radio_Map_Estimation_An_Open_Dataset_with_Directive_Transmitter_Antennas_and_Initial_Experiment.pdf,4566665 bytes
ckmimagenet2025,article,CKMImageNet: A Dataset for AI-Based Channel Knowledge Map Toward Environment-Aware Communication and Sensing,10.1109/TCOMM.2025.3615778,https://doi.org/10.1109/TCOMM.2025.3615778,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\ckmimagenet2025__CKMImageNet_A_Dataset_for_AI_Based_Channel_Knowledge_Map_Toward_Environment_Aware_Communication.pdf,3014544 bytes
icassp2025indoor,inproceedings,The First Indoor Pathloss Radio Map Prediction Challenge,10.1109/ICASSP49660.2025.10889381,https://doi.org/10.1109/ICASSP49660.2025.10889381,downloaded,https://arxiv.org/pdf/2501.13698.pdf,C:\TFG\FINAL_THESIS\cited_papers\icassp2025indoor__The_First_Indoor_Pathloss_Radio_Map_Prediction_Challenge.pdf,836205 bytes from https://arxiv.org/pdf/2501.13698
indoor2025results,online,The First Indoor Pathloss Radio Map Prediction Challenge: Results,,https://indoorradiomapchallenge.github.io/results.html,skipped_non_paper_or_software,,,not a paper PDF target
radiounet2020,article,RadioUNet: Fast Radio Map Estimation With Convolutional Neural Networks,10.1109/TWC.2021.3054977,https://arxiv.org/abs/1911.09002,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\radiounet2020__RadioUNet_Fast_Radio_Map_Estimation_With_Convolutional_Neural_Networks.pdf,1176874 bytes
radiogunet2025,misc,Group Equivariant Convolutional Networks for Pathloss Estimation,10.48550/arXiv.2511.17841,https://arxiv.org/abs/2511.17841,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\radiogunet2025__Group_Equivariant_Convolutional_Networks_for_Pathloss_Estimation.pdf,570204 bytes
pmnet2023,inproceedings,PMNet: Robust Pathloss Map Prediction via Supervised Learning,10.1109/GLOBECOM54140.2023.10437562,https://arxiv.org/abs/2211.10527,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\pmnet2023__PMNet_Robust_Pathloss_Map_Prediction_via_Supervised_Learning.pdf,1212076 bytes
pmnet_icassp2023,inproceedings,PMNet: Large-Scale Channel Prediction System for ICASSP 2023 First Pathloss Radio Map Prediction Challenge,10.1109/ICASSP49357.2023.10095257,https://doi.org/10.1109/ICASSP49357.2023.10095257,already_downloaded,https://doi.org/10.1109/ICASSP49357.2023.10095257,C:\TFG\FINAL_THESIS\cited_papers\PMNet_ Large-Scale Channel Prediction System for ICASSP 2023 First Pathloss Radio Map Prediction Challenge.pdf,manual local file present; 247888 bytes
rmtransformer2025,inproceedings,RMTransformer: Accurate Radio Map Construction and Coverage Prediction,10.1109/VTC2025-Spring65109.2025.11174709,https://doi.org/10.1109/VTC2025-Spring65109.2025.11174709,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\rmtransformer2025__RMTransformer_Accurate_Radio_Map_Construction_and_Coverage_Prediction.pdf,915743 bytes
tarhouni2025,article,Machine Learning-based Path Loss Prediction in Suburban Environment in the Sub-6 GHz Band,10.1109/TVT.2025.3633604,https://doi.org/10.1109/TVT.2025.3633604,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\tarhouni2025__Machine_Learning_based_Path_Loss_Prediction_in_Suburban_Environment_in_the_Sub_6_GHz_Band.pdf,6373106 bytes
gao2026,article,Effective Outdoor Pathloss Prediction: A Multi-Layer Segmentation Approach With Weighting Map,10.1109/TVT.2026.3658966,https://doi.org/10.1109/TVT.2026.3658966,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\gao2026__Effective_Outdoor_Pathloss_Prediction_A_Multi_Layer_Segmentation_Approach_With_Weighting_Map.pdf,1470417 bytes
airmap2025,misc,AIRMap: AI-Generated Radio Maps for Wireless Digital Twins,10.48550/arXiv.2511.05522,https://arxiv.org/abs/2511.05522,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\airmap2025__AIRMap_AI_Generated_Radio_Maps_for_Wireless_Digital_Twins.pdf,24275608 bytes
pathfinder2025,article,PathFinder: Advancing Path Loss Prediction for Single-to-Multi-Transmitter Scenario,10.1016/j.patcog.2026.113725,https://doi.org/10.1016/j.patcog.2026.113725,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\pathfinder2025__PathFinder_Advancing_Path_Loss_Prediction_for_Single_to_Multi_Transmitter_Scenario.pdf,27248038 bytes
sip2net2025,inproceedings,SIP2Net: Situational-Aware Indoor Pathloss-Map Prediction Network for Radio Map Generation,10.1109/ICASSP49660.2025.10890319,,already_downloaded,10.1109/ICASSP49660.2025.10890319,C:\TFG\FINAL_THESIS\cited_papers\SIP2Net_Situational-Aware_Indoor_Pathloss-Map_Prediction_Network_for_Radio_Map_Generation.pdf,manual local file present; 1742050 bytes
ippnet2025,inproceedings,IPP-Net: A Generalizable Deep Neural Network Model for Indoor Pathloss Radio Map Prediction,10.1109/ICASSP49660.2025.10890663,https://arxiv.org/abs/2501.06414,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\ippnet2025__IPP_Net_A_Generalizable_Deep_Neural_Network_Model_for_Indoor_Pathloss_Radio_Map_Prediction.pdf,287573 bytes
transPathNet2025,inproceedings,TransPathNet: A Novel Two-Stage Framework for Indoor Radio Map Prediction,10.1109/ICASSP49660.2025.10887939,https://arxiv.org/abs/2501.16023,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\transPathNet2025__TransPathNet_A_Novel_Two_Stage_Framework_for_Indoor_Radio_Map_Prediction.pdf,2361042 bytes
wicopg2025,misc,WiCo-PG: Wireless Channel Foundation Model for Pathloss Map Generation via Synesthesia of Machines,10.48550/arXiv.2511.15030,https://arxiv.org/abs/2511.15030,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\wicopg2025__WiCo_PG_Wireless_Channel_Foundation_Model_for_Pathloss_Map_Generation_via_Synesthesia_of_Machin.pdf,3783718 bytes
fmrme2026,misc,FM-RME: Foundation Model Empowered Radio Map Estimation,10.48550/arXiv.2602.22231,https://arxiv.org/abs/2602.22231,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\fmrme2026__FM_RME_Foundation_Model_Empowered_Radio_Map_Estimation.pdf,1815625 bytes
radiolam2025,article,A Fine-Grained 3D Radio Map Construction Paradigm With Ultra-Low Sampling Rates by Large Generative Models,10.1109/JSAC.2026.3677149,https://doi.org/10.1109/JSAC.2026.3677149,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\radiolam2025__A_Fine_Grained_3D_Radio_Map_Construction_Paradigm_With_Ultra_Low_Sampling_Rates_by_Large_Genera.pdf,9979432 bytes
reveal2025,inproceedings,ReVeal: A Physics-Informed Neural Network for High-Fidelity Radio Environment Mapping,10.1109/DYSPAN64764.2025.11115911,https://doi.org/10.1109/DYSPAN64764.2025.11115911,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\reveal2025__ReVeal_A_Physics_Informed_Neural_Network_for_High_Fidelity_Radio_Environment_Mapping.pdf,6088538 bytes
geomDL2024,article,Diffraction and Scattering Aware Radio Map and Environment Reconstruction Using Geometry Model-Assisted Deep Learning,10.1109/TWC.2024.3487225,https://arxiv.org/abs/2403.00229,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\geomDL2024__Diffraction_and_Scattering_Aware_Radio_Map_and_Environment_Reconstruction_Using_Geometry_Model.pdf,4276763 bytes
huang2025a2gtransformer,article,Transformer-Based Air-to-Ground mmWave Channel Characteristics Prediction for 6G UAV Communications,10.3390/s25123731,https://www.mdpi.com/1424-8220/25/12/3731,downloaded,https://mdpi-res.com/d_attachment/sensors/sensors-25-03731/article_deploy/sensors-25-03731.pdf,C:\TFG\FINAL_THESIS\cited_papers\huang2025a2gtransformer__Transformer_Based_Air_to_Ground_mmWave_Channel_Characteristics_Prediction_for_6G_UAV_Communicat.pdf,8099132 bytes from https://mdpi-res.com/d_attachment/sensors/sensors-25-03731/article_deploy/sensors-25-03731.pdf
yang2019a2gml,article,Machine-Learning-Based Prediction Methods for Path Loss and Delay Spread in Air-to-Ground Millimetre-Wave Channels,10.1049/iet-map.2018.6187,https://onlinelibrary.wiley.com/doi/10.1049/iet-map.2018.6187,already_downloaded,https://onlinelibrary.wiley.com/doi/10.1049/iet-map.2018.6187,C:\TFG\FINAL_THESIS\cited_papers\IET Microwaves Antenna   Prop - 2019 - Yang - Machine‐learning‐based prediction methods for path loss and delay spread in.pdf,manual local file present; 3196251 bytes
mi2024pointcloud,article,Measurement-Based Prediction of mmWave Channel Parameters Using Deep Learning and Point Cloud,10.1109/OJVT.2024.3436857,https://doi.org/10.1109/OJVT.2024.3436857,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\mi2024pointcloud__Measurement_Based_Prediction_of_mmWave_Channel_Parameters_Using_Deep_Learning_and_Point_Cloud.pdf,2995508 bytes
radiodiff2025,article,RadioDiff: An Effective Generative Diffusion Model for Sampling-Free Dynamic Radio Map Construction,10.1109/TCCN.2024.3504489,https://arxiv.org/abs/2408.08593,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\radiodiff2025__RadioDiff_An_Effective_Generative_Diffusion_Model_for_Sampling_Free_Dynamic_Radio_Map_Construct.pdf,3820303 bytes
radiopit2025,inproceedings,RadioPiT: Radio Map Generation with Pixel Transformer Driven by Ultra-Sparse Real-World Data,10.23919/APCC64555.2025.11279807,https://doi.org/10.23919/APCC64555.2025.11279807,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\radiopit2025__RadioPiT_Radio_Map_Generation_with_Pixel_Transformer_Driven_by_Ultra_Sparse_Real_World_Data.pdf,10430288 bytes
isola2017pix2pix,inproceedings,Image-to-Image Translation with Conditional Adversarial Networks,,https://arxiv.org/abs/1611.07004,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\isola2017pix2pix__Image_to_Image_Translation_with_Conditional_Adversarial_Networks.pdf,9323587 bytes
kendall2017uncertainties,inproceedings,What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,,https://arxiv.org/abs/1703.04977,downloaded,https://arxiv.org/pdf/1703.04977.pdf,C:\TFG\FINAL_THESIS\cited_papers\kendall2017uncertainties__What_Uncertainties_Do_We_Need_in_Bayesian_Deep_Learning_for_Computer_Vision.pdf,6719323 bytes from https://arxiv.org/pdf/1703.04977
izmailov2018swa,inproceedings,Averaging Weights Leads to Wider Optima and Better Generalization,,https://arxiv.org/abs/1803.05407,downloaded,https://arxiv.org/pdf/1803.05407.pdf,C:\TFG\FINAL_THESIS\cited_papers\izmailov2018swa__Averaging_Weights_Leads_to_Wider_Optima_and_Better_Generalization.pdf,733206 bytes from https://arxiv.org/pdf/1803.05407
winner2,techreport,WINNER II Channel Models,,https://www.cept.org/files/8339/winner2%20-%20final%20report.pdf,downloaded,http://signserv.signal.uu.se/Publications/WINNER/WIN2D112.pdf,C:\TFG\FINAL_THESIS\cited_papers\winner2__WINNER_II_Channel_Models.pdf,2838410 bytes from http://signserv.signal.uu.se/Publications/WINNER/WIN2D112.pdf
cai2019,article,An Empirical Air-to-Ground Channel Model Based on Passive Measurements in LTE,10.1109/TVT.2018.2886961,https://doi.org/10.1109/TVT.2018.2886961,downloaded,C:\TFG\tmp\pdfs\citation_audit\1901.07930.pdf,C:\TFG\FINAL_THESIS\cited_papers\cai2019__An_Empirical_Air_to_Ground_Channel_Model_Based_on_Passive_Measurements_in_LTE.pdf,3919913 bytes copied from C:\TFG\tmp\pdfs\citation_audit\1901.07930.pdf
izydorczyk2019,inproceedings,Angular Distribution of Cellular Signals for UAVs in Urban and Rural Scenarios,,https://ieeexplore.ieee.org/document/8739910,already_downloaded,https://ieeexplore.ieee.org/document/8739910,C:\TFG\FINAL_THESIS\cited_papers\Angular_Distribution_of_Cellular_Signals_for_UAVs_in_Urban_and_Rural_Scenarios.pdf,manual local file present; 324210 bytes
goldsmith,book,Wireless Communications,10.1017/CBO9780511841224,,skipped_non_paper_or_software,,,not a paper PDF target
perez2018film,inproceedings,FiLM: Visual Reasoning with a General Conditioning Layer,10.1609/aaai.v32i1.11671,https://arxiv.org/abs/1709.07871,downloaded,https://arxiv.org/pdf/1709.07871.pdf,C:\TFG\FINAL_THESIS\cited_papers\perez2018film__FiLM_Visual_Reasoning_with_a_General_Conditioning_Layer.pdf,6415999 bytes from https://arxiv.org/pdf/1709.07871
dhariwal2021diffusion,inproceedings,Diffusion Models Beat GANs on Image Synthesis,,https://arxiv.org/abs/2105.05233,downloaded,https://arxiv.org/pdf/2105.05233.pdf,C:\TFG\FINAL_THESIS\cited_papers\dhariwal2021diffusion__Diffusion_Models_Beat_GANs_on_Image_Synthesis.pdf,39795106 bytes from https://arxiv.org/pdf/2105.05233
saleh2021probabilistic,inproceedings,Probabilistic Path Loss Predictors for mmWave Networks,10.1109/VTC2021-Spring51267.2021.9448967,https://doi.org/10.1109/VTC2021-Spring51267.2021.9448967,downloaded,https://aaltodoc.aalto.fi/server/api/core/bitstreams/912ccea6-6d5b-4579-affe-0cf3c181e0e6/content,C:\TFG\FINAL_THESIS\cited_papers\saleh2021probabilistic__Probabilistic_Path_Loss_Predictors_for_mmWave_Networks.pdf,2129113 bytes from https://aaltodoc.aalto.fi/server/api/core/bitstreams/912ccea6-6d5b-4579-affe-0cf3c181e0e6/content
garciamarti2020mixture,inproceedings,A Mixture Density Channel Model for Deep Learning-Based Wireless Physical Layer Design,10.1145/3416010.3423229,https://dspace.networks.imdea.org/handle/20.500.12761/886,downloaded,https://dspace.networks.imdea.org/bitstream/20.500.12761/886/1/ACM_MSWiM_2020___TRK__Copy_%20%281%29.pdf,C:\TFG\FINAL_THESIS\cited_papers\garciamarti2020mixture__A_Mixture_Density_Channel_Model_for_Deep_Learning_Based_Wireless_Physical_Layer_Design.pdf,3031409 bytes from https://dspace.networks.imdea.org/bitstream/handle/20.500.12761/886/ACM_MSWiM_2020___TRK__Copy_%20(1).pdf;jsessionid=C97F6736BD6AC4BAF7168325A8FE011F?sequence=1
lee2024timevarying,inproceedings,Modeling of Time-varying Wireless Communication Channel with Fading and Shadowing,10.1109/VTC2024-Fall63153.2024.10757531,https://doi.org/10.1109/VTC2024-Fall63153.2024.10757531,downloaded,https://arxiv.org/pdf/2405.08199.pdf,C:\TFG\FINAL_THESIS\cited_papers\lee2024timevarying__Modeling_of_Time_varying_Wireless_Communication_Channel_with_Fading_and_Shadowing.pdf,895663 bytes from https://arxiv.org/pdf/2405.08199
IEEEexample:BSTcontrol,ieeetranbstctl,,,,skipped_non_paper_or_software,,,not a paper PDF target
moreno2026ckmgenerator,misc,"CKMGenerator: Generator of Path Loss, Delay Spread and Angular Spread",,https://github.com/unworthyzeus/CKMGenerator,skipped_non_paper_or_software,,,not a paper PDF target
moreno2026finalcode,misc,Final_Code_TFG: Final Training and Evaluation Code,,https://github.com/unworthyzeus/Final_Code_TFG,skipped_non_paper_or_software,,,not a paper PDF target
moreno2026tfgprogress,misc,TFGAllProgress_Tries_and_Attempts: Development History and Experimental Attempts,,https://github.com/unworthyzeus/TFGAllProgress_Tries_and_Attempts,skipped_non_paper_or_software,,,not a paper PDF target
moreno2026tfgtext,misc,TFG_ActualText_LaTeX: Thesis Source,,https://github.com/unworthyzeus/TFG_ActualText_LaTeX,skipped_non_paper_or_software,,,not a paper PDF target
