Number of citation,Name of citation,what is it,which pages are cited?,total number of pages,actual pages cited,what is it cited for,qué se cita exactamente de esta fuente,is the cited information in the source?,support evidence / caveat,audit action
11,Digital Mobile Radio Towards Future Generation Systems: Final Report,Technical report,,506,"23, 44-45, 47, 56, 59, 102","prior_detail_overview.tex; High level architecture; Literature ingredients and thesis adaptations. Context: des the entry point for the ML calibrated physical path loss and spread priors and the HARP-Net CKM residual architecture. The propagation ingredients follow classical FSPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [cit",El modelo COST 231 Hata y su papel como referencia empírica de path loss urbano NLoS.,SUPPORTED,"Local extracted COST 231 report parts contain the COST 231 Hata model, urban macrocell context, Hata/Okumura basis, and path loss formula material used for the NLoS prior.",No thesis wording change needed.
12,Study on Channel Model for Frequencies from 0.5 to 100 GHz,Standard / technical report,,,"23-24, 28, 33, 44-45, 47, 57, 59, 62-63, 103","prior_detail_overview.tex; High level architecture; Literature ingredients and thesis adaptations. Context: des the entry point for the ML calibrated physical path loss and spread priors and the HARP-Net CKM residual architecture. The propagation ingredients follow classical FSPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [cit","El modelo 3GPP TR 38.901 para LoS/NLoS, parámetros a gran escala y estadísticas de spread en dominio logarítmico.",SUPPORTED WITH CAVEAT,"3GPP TR 38.901 is the correct standard source for 0.5 to 100 GHz channel models, LoS/NLoS states, large scale parameters, and spread modelling. The full report was not locally downloaded because it is a standard source.",No thesis wording change needed; keep it as an official technical report citation.
13,Optimal LAP Altitude for Maximum Coverage,Journal article,569-572,4,"24, 45, 47, 103","High level architecture; Literature ingredients and thesis adaptations; UAV and air to ground channel models. Context: ttlow_ant, mid_ant, high_ant) because the obstruction geometry changes qualitatively when the centred UAV rises above the local skyline, consistent with A2G elevation and scenario modelling practice [citation] . It is deliberately separate from the LoS branch because blocked pixels do not follow the same two-ray mechanism. Delay and angular spread priors. Th",La dependencia de la probabilidad LoS y la cobertura A2G con el ángulo de elevación y la altitud.,SUPPORTED,Local PDF supports elevation angle and LoS probability as central A2G modelling axes and motivates altitude dependent coverage.,No thesis wording change needed.
14,A Survey of Air-to-Ground Propagation Channel Modeling for Unmanned Aerial Vehicles,Journal article,2361-2391,31,"24, 44-45, 47, 57, 59, 103","prior_detail_overview.tex; High level architecture; Literature ingredients and thesis adaptations. Context: des the entry point for the ML calibrated physical path loss and spread priors and the HARP-Net CKM residual architecture. The propagation ingredients follow classical FSPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [cit","La motivación general de modelos de canal UAV A2G, incluyendo elevación, shadowing y condiciones de propagación.",SUPPORTED,"Local survey PDF supports A2G UAV channel modelling, elevation angle dependence, and shadowing/fading context.",No thesis wording change needed.
15,Millimeter-Wave UAV Channel Model with Height-Dependent Path Loss and Shadowing in Urban Scenarios,arXiv preprint,,8,"24, 103","Related UAV evidence.. Context: 3GPP~TR~38.901 [citation] is used here as standardized LoS/NLoS large scale channel model context, not as the direct source of that elevation-logistic A2G formula. Related UAV evidence. Recent work by Saboor and Vinogradov [citation] makes this height dependence especially relevant for the present thesis: in simulated 26~GHz urban A2G links, LoS path loss re","La dependencia del path loss y del shadowing mmWave UAV con la altura, separando comportamiento LoS y NLoS.",SUPPORTED,Local PDF supports height dependent mmWave UAV path loss and shadowing in urban scenarios; it reports LoS exponent near free space and NLoS/shadowing changes with altitude.,No thesis wording change needed.
16,Spatially Consistent Air-to-Ground Channel Modeling and Simulation via 3D Shadow Projections,Conference paper,1-6,6,"24, 27, 103","Related UAV evidence.; Geometry assisted and diffraction aware deep learning. Context: relevant for the present thesis: in simulated 26~GHz urban A2G links, LoS path loss remains close to a free space exponent, whereas NLoS path loss exponents and shadow fading evolve with ABS height and with urban layout. Vinogradov et al.\ [citation] also propose 3D shadow projections as a fast way to generate spatially consistent A2G LoS maps without full p",Las proyecciones de sombra 3D para generar mapas LoS A2G espacialmente consistentes sin ray tracing completo.,SUPPORTED,"Local PDF supports 3D shadow projections for fast, spatially consistent A2G LoS map generation and LoS aware deterministic path loss with stochastic shadow fading.",No thesis wording change needed.
17,WINNER II Channel Models,Technical report,1-82,82,"24, 33, 44-45, 47, 62-63, 103","prior_detail_overview.tex; High level architecture; Literature ingredients and thesis adaptations. Context: des the entry point for the ML calibrated physical path loss and spread priors and the HARP-Net CKM residual architecture. The propagation ingredients follow classical FSPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [cit","Los parámetros a gran escala WINNER, incluyendo delay spread, angular spread, shadowing lognormal y estados LoS/NLoS.",SUPPORTED,"Local report PDF supports large scale parameters, delay spread, angular spread, lognormal shadowing, and LOS/NLOS condition tables.",No thesis wording change needed.
18,Image-to-Image Translation with Conditional Adversarial Networks,Conference paper,5967-5976,10,"25, 47, 103","Literature ingredients and thesis adaptations; Image to image translation baselines. Context: rovides stable spread anchors without pretending that spreads are smooth deterministic channel attenuation maps. \\ Final residual model & U-Net style dense prediction, FiLM conditioning, probabilistic regression, and mixture density ideas [citation] . & Prior channels, explicit masks, residual caps, anchor gates, and a shared multitask trunk. & Learns only",La formulación image to image con cGAN y U-Net como antecedente de predicción densa.,SUPPORTED,Local PDF supports image to image translation with conditional GANs and U-Net style dense prediction baseline context.,No thesis wording change needed.
19,RadioUNet: Fast Radio Map Estimation With Convolutional Neural Networks,Journal article,4001-4015,15,"25, 87, 103",Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; Image to image translation baselines. Context: edrightp0.25 >p0.29 >X Reference & What it reports & Verdict for our final model & Why the verdict is limited \\ RadioUNet [citation] & 1.6dB-3.1dB equivalent channel attenuation RMSE in accurate map settings & Our final PL RMSE lies inside the reported 1.6dB-3.1dB dB scale band. & 2D channel attenuation maps only; no transmitter height conditioning or sprea,RadioUNet como baseline CNN de radio maps y sus valores RMSE normalizados en escala de imagen.,SUPPORTED AFTER TEXT CHANGE,"Local PDF supports RadioUNet as the canonical CNN radio map baseline and contains the 0.0203 to 0.0384 grey level RMSE values. The 80 dB scaling is supported by dataset2212, not by this paper alone.",Changed state_of_art.tex so the 80 dB conversion is attributed to the RadioMapSeer dataset citation.
20,Group Equivariant Convolutional Networks for Pathloss Estimation,arXiv preprint,,5,"25, 32, 51-52, 61, 68, 87, 103","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; Image to image translation baselines. Context: hannel attenuation RMSE in accurate map settings & Our final PL RMSE lies inside the reported 1.6dB-3.1dB dB scale band. & 2D channel attenuation maps only; no transmitter height conditioning or spread targets. \\ RadioGUNet [citation] & 1.304dB DPM, 1.936dB IRT, and 1.392dB DPM with cars on RadioMapSeer & Our final PL RMSE is close to the reported RadioMapS","RadioGUNet como extensión equivarante de RadioMapSeer y sus métricas DPM, IRT y DPM con coches.",SUPPORTED,"Local PDF supports group equivariant pathloss estimation and the exact reported metrics: 1.304 dB DPM, 1.936 dB IRT, and 1.392 dB with cars.",No thesis wording change needed.
21,PMNet: Large-Scale Channel Prediction System for ICASSP 2023 First Pathloss Radio Map Prediction Challenge,Conference paper,1-2,2,"25-26, 32, 87, 103","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; PMNet and the ICASSP outdoor challenge family. Context: L RMSE is close to the reported RadioMapSeer dB scale range, while remaining above its best DPM number. & Outdoor simulated terrestrial maps; held out test layouts, but no transmitter height or spread targets. \\ PMNet / ICASSP~2023 winner [citation] & approx.\ 1.38dB converted from the RadioMap3DSeer normalized score & Final PL is close but higher under a d",PMNet como ganador del reto ICASSP 2023 y su RMSE normalizado en test.,SUPPORTED,Local PDF supports PMNet's 1st rank challenge result and normalized RMSE 0.0383 on the challenge test set. The approximate dB conversion uses the dataset scale described elsewhere.,No thesis wording change needed.
22,RMTransformer: Accurate Radio Map Construction and Coverage Prediction,Conference paper,1-5,5,"26, 32, 87, 103","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; Transformers, state space models, and attention based encoders. Context: r reported below 4dB against ray tracing & Our final PL RMSE is below 2dB, but an exact ratio is not recoverable from the reported path gain threshold. & Reports path gain, not the same path loss calibration. \\ RMTransformer [citation] & \(7.1510^-3\) normalised pixel RMSE, approximately 1.82dB with its 254dB USC/PMNet scaling window; \(8.1010^-3\) channel",RMTransformer como encoder-decoder MaxViT/CNN de 256 por 256 píxeles y sus métricas normalizadas.,SUPPORTED,"Local PDF supports RMTransformer as a MaxViT/CNN encoder decoder on 256 by 256 maps, with RMSE 0.007148, PMNet 0.01046, and channel prediction error 0.008099.",No thesis wording change needed.
23,WiCo-PG: Wireless Channel Foundation Model for Pathloss Map Generation via Synesthesia of Machines,arXiv preprint,,13,"26, 103","Transformers, state space models, and attention based encoders; Foundation models for radio maps. Context: inserted in Table~tab:icassp2023corrected because it is not measured on RadioMap3DSeer or under the ICASSP challenge setup. Recent attention and foundation model variants extend the effective receptive field of radio map predictors [citation] . This is useful when large scale urban context affects the prediction, but these methods normally need more data and","WiCo-PG como modelo cross modal con VQGANs, Transformer, MoE guiado por frecuencia, imágenes RGB desde UAV y NMSE reportado.",SUPPORTED,"Local PDF supports dual VQGANs, a transformer, frequency guided mixture of experts, RGB images from UAV capture as auxiliary modality, U2G scenarios, and NMSE 0.012.",No thesis wording change needed.
24,FM-RME: Foundation Model Empowered Radio Map Estimation,arXiv preprint,,7,"26, 33, 104","Transformers, state space models, and attention based encoders; Foundation models for radio maps; Emerging techniques and implications for this thesis. Context: inserted in Table~tab:icassp2023corrected because it is not measured on RadioMap3DSeer or under the ICASSP challenge setup. Recent attention and foundation model variants extend the effective receptive field of radio map predictors [citation] . This is useful when large scale urban context affects the prediction, but these methods normally need more data and",FM-RME como modelo fundacional para radio map estimation con preentrenamiento autosupervisado.,SUPPORTED,Local PDF supports FM-RME as a radio map foundation model with self supervised pretraining and zero shot/general inference framing.,No thesis wording change needed.
25,A Fine-Grained 3D Radio Map Construction Paradigm With Ultra-Low Sampling Rates by Large Generative Models,Journal article,4397-4413,17,"26, 104",Foundation models for radio maps. Context: itewicopg2025 uses dual VQGANs and a transformer with frequency-guided mixture-of-experts. It exploits RGB drone camera images as an auxiliary modality and achieves an NMSE of~0.012 on its constructed multimodal U2G benchmark. RadioLAM [citation] targets fine grained 3D radio map estimation from ultra low sampling rates using a large generative model pipelin,RadioLAM como pipeline generativo para mapas radio 3D finos con tasas de muestreo ultrabajas.,SUPPORTED,Local PDF supports fine grained 3D radio map construction at ultra low sampling rates using a large generative model pipeline.,No thesis wording change needed.
26,Diffraction and Scattering Aware Radio Map and Environment Reconstruction Using Geometry Model-Assisted Deep Learning,Journal article,19804-19819,16,"27, 33, 104","Geometry assisted and diffraction aware deep learning; Emerging techniques and implications for this thesis. Context: eless, the method is directly relevant because it explains why a binary visibility channel can carry so much of the structure that the neural network otherwise has to infer from the height map alone. Geometry assisted diffraction features~ [citation] use virtual obstacles, multi screen knife edge propagation, and scattering aware local geometry cues to injec","La reconstrucción de radio maps con geometría asistida, diffraction, scattering, obstáculos virtuales y multi screen knife edge.",SUPPORTED,"Local PDF supports diffraction and scattering aware radio map reconstruction using geometry assisted learning, virtual obstacles, and multi screen knife edge features.",No thesis wording change needed.
27,ReVeal: A Physics-Informed Neural Network for High-Fidelity Radio Environment Mapping,Conference paper,1-10,10,"27, 33, 87, 104","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; Physics informed neural networks. Context: an the ICASSP number and \(7.4\) lower than the ITU number. & Recent outdoor PL-map model with Tx/Rx depth and corridor weighting, but no CKM variable height UAV, no joint PL/DS/AS output, and different split/features. \\ ReVeal PINN [citation] & 1.95dB outdoor rural/suburban radio environment RMSE with sparse measurements & Final PL is in the same dB scale",ReVeal como PINN con residuo PDE de segundo orden y su RMSE outdoor sparse de 1.95 dB.,SUPPORTED,Local PDF supports ReVeal as a physics informed neural network with a second order PDE residual and reports 1.95 dB RMSE in its rural/suburban radio environment setting.,No thesis wording change needed.
28,Transformer-Based Air-to-Ground mmWave Channel Characteristics Prediction for 6G UAV Communications,Journal article,3731,28,"28, 33, 45, 47, 88, 104","High level architecture; Literature ingredients and thesis adaptations; Comparison with closest state of the art metrics. Context: nearby building pixels, and the local window area fraction occupied by buildings taller than the transmitter. This follows the log domain convention used for large scale spread statistics and recent A2G spread predictors [citation] . This is why the spread prior can fit the near zero LoS mass and the NLoS tail without letting the largest tail values dominate","El predictor Transformer A2G mmWave de características de canal, incluyendo path loss o potencia recibida, delay spread y angular spread.",SUPPORTED,"Local PDF supports Transformer based A2G mmWave prediction of received power/path loss, delay spread, and angular spread. Table 18 contains RMS DS 4.577 ns and the cited angle spread RMSE values.",No thesis wording change needed.
29,What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,Conference paper,5574-5584,11,"29, 34, 44, 47, 104","prior_detail_overview.tex; Literature ingredients and thesis adaptations; Heteroscedastic uncertainty. Context: SPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [citation] . The detailed mathematical derivations and implementation level fitting notes are included in this methodology chapter, so the final pipeline can be read without",La pérdida de incertidumbre aleatoria heteroscedástica usada como base para modelar varianza dependiente de la entrada.,SUPPORTED,"Local PDF supports aleatoric and heteroscedastic uncertainty, learned attenuation, and the regression loss basis used for uncertainty modelling.",No thesis wording change needed.
30,Probabilistic Path Loss Predictors for mmWave Networks,Conference paper,1-6,6,"29, 34, 44, 47, 104","prior_detail_overview.tex; Literature ingredients and thesis adaptations; Gaussian mixture model heads. Context: SPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [citation] . The detailed mathematical derivations and implementation level fitting notes are included in this methodology chapter, so the final pipeline can be read without",El uso de mixture density networks para predecir distribuciones probabilísticas de path loss mmWave.,SUPPORTED,Local PDF supports mixture density networks for probabilistic mmWave path loss distributions.,No thesis wording change needed.
31,A Mixture Density Channel Model for Deep Learning-Based Wireless Physical Layer Design,Conference paper,53-62,10,"29, 34, 47, 104","Literature ingredients and thesis adaptations; Gaussian mixture model heads; Emerging techniques and implications for this thesis. Context: rovides stable spread anchors without pretending that spreads are smooth deterministic channel attenuation maps. \\ Final residual model & U-Net style dense prediction, FiLM conditioning, probabilistic regression, and mixture density ideas [citation] . & Prior channels, explicit masks, residual caps, anchor gates, and a shared multitask trunk. & Learns only",El modelo de canal estocástico basado en mezcla gaussiana para diseño de capa física con deep learning.,SUPPORTED,Local PDF supports a stochastic channel model learned as a Gaussian mixture distribution for physical layer design.,No thesis wording change needed.
32,Modeling of Time-varying Wireless Communication Channel with Fading and Shadowing,Conference paper,1-6,6,"29, 104","Gaussian mixture model heads. Context: itesaleh2021probabilistic use an MDN to predict probabilistic mmWave path loss distributions, Garcia Marti et al.\ [citation] learn a stochastic Gaussian mixture channel model for physical layer design, and Lee et al.\ [citation] derive conditional received power PDFs with a mixture density network. These works support the use of mixture outputs for wireless",El modelado de canales variables en el tiempo con fading y shadowing usando una red y mezcla de gaussianas.,SUPPORTED,Local PDF supports a deep learning plus mixture density network model using Gaussian kernels for time varying channels with fading and shadowing.,No thesis wording change needed.
33,RadioDiff: An Effective Generative Diffusion Model for Sampling-Free Dynamic Radio Map Construction,Journal article,738-750,13,"30, 33, 104","Stochastic diffusion models; Emerging techniques and implications for this thesis; Deep learning, hybrid models and distribution aware heads. Context: tion head that tells the dense decoder what value distribution the map should contain before the model solves the harder pixel placement problem. Stochastic diffusion models Conditional diffusion models applied to radio maps [citation] generate physically plausible stochastic variations in deep shadow zones rather than predicting a single blurry mean. The it",La difusión condicional para construir radio maps dinámicos usando localización de BS y características del entorno como prompts.,SUPPORTED AFTER TEXT CHANGE,Local PDF supports conditional diffusion for sampling free dynamic radio map construction using BS location and environment features as prompts.,Changed state_of_art.tex from obstacle prompts to environment features.
34,FiLM: Visual Reasoning with a General Conditioning Layer,Conference paper,3942-3951,10,"30, 44, 47, 104","Final pipeline; prior_detail_overview.tex; Literature ingredients and thesis adaptations. Context: oS mask, ground mask, combined path loss prior, LoS path loss prior, NLoS path loss prior, delay spread prior and angular spread prior. The scalar \(h_tx\) is encoded with sinusoidal features and injected through FiLM modulation [citation] . The network therefore learns a residual around already height aware priors instead of inferring all height effects fro",FiLM como modulación lineal feature wise mediante transformaciones afines condicionadas.,SUPPORTED,Local PDF supports FiLM as feature wise linear modulation by learned affine transformations based on conditioning inputs.,No thesis wording change needed.
35,Averaging Weights Leads to Wider Optima and Better Generalization,Conference paper,876-885,10,"30, 105","Height conditioning for the residual model. Context: s the activation statistics rather than being handled as a discrete bin, which is critical when the effective propagation regime changes substantially with height. Two other tools used during development, stochastic weight averaging (SWA) [citation] and exponential moving average (EMA) tracking, are kept in this review because they explain some of the traini",SWA como promedio de pesos que busca óptimos más anchos y mejor generalización.,SUPPORTED,"Local PDF supports stochastic weight averaging, weight averaging, wider optima, and improved generalization.",No thesis wording change needed.
36,AIRMap: AI-Generated Radio Maps for Wireless Digital Twins,arXiv preprint,,15,"32, 87, 105","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; Why headline numbers cannot be compared directly. Context: measurements & Final PL is in the same dB scale range as ReVeal's sparse measurement result. & Real outdoor measurements, but sparse RSSI radio environment mapping rather than dense transmitter height conditioned CKM generation. \\ AIRMap [citation] & path gain error reported below 4dB against ray tracing & Our final PL RMSE is below 2dB, but an exact ratio","AIRMap como U-Net adaptativa con mapas de elevación 200 por 200, RMSE sub 4 dB de path gain, inferencia rápida y calibración con medidas.",SUPPORTED WITH CAVEAT,"Local PDF supports adaptive U-Net/elevation map radio maps, 200 by 200 tensors, 2.5 to 15 m/pixel resolution, sub 4 dB path gain RMSE, 4 ms inference, 20 percent field calibration, and about 5 percent median error.","No thesis wording change needed; the thesis already warns that AIRMap reports path gain, not the same path loss calibration."
37,Effective Outdoor Pathloss Prediction: A Multi-Layer Segmentation Approach With Weighting Map,Journal article,1-6,6,"32, 87, 105","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; Why headline numbers cannot be compared directly. Context: only as scale context, not as a direct ranking. & Not directly comparable: ICASSP/RadioMap3DSeer testing differs from our unseen CKM-city split, continuous transmitter height conditioning, and joint PL/DS/AS target setting. \\ Gao et al.\ [citation] & 5.59dB on ICASSP~2023; 12.19dB on ITU Challenge~2024, with about 60\ Our final PL RMSE is about \(3.4\) lowe","El predictor de path loss con mapas de profundidad Tx/Rx, mapa de distancia, weighting map de corredor y resultados RMSE de la Tabla III.",SUPPORTED,"Local PDF supports depth maps, a distance map, and weighting map inputs; Table III contains 5.59 dB for the proposed method, 8.09 dB PPNet, 9.56 dB RPNet, and 8.72 dB ViT-12.",No thesis wording change needed.
38,Machine Learning-based Path Loss Prediction in Suburban Environment in the Sub-6 GHz Band,Journal article,1-11,11,"32, 105",Why headline numbers cannot be compared directly; Tarhouni et al.: measured suburban path loss prediction. Context: ransformer2025 & No & No & No & No \\ RadioGUNet [citation] & Partial & No & No & Partial \\ AIRMap [citation] & Partial & No & No & Partial \\ Gao et al.\ [citation] & No & No & Partial & Partial \\ Tarhouni et al.\ [citation] & No & No & No & Physical ref. \\ PathFinder [citation] & Partial & No & No & Partial \\ This thesis task setting & Yes & Yes & Yes,Un caso medido de predicción de path loss suburbano sub 6 GHz usado como comparación cualitativa no densa.,SUPPORTED,"Local PDF supports machine learning based path loss prediction in a measured sub 6 GHz suburban environment, matching the qualitative comparison role in the thesis.",No thesis wording change needed.
39,PathFinder: Advancing Path Loss Prediction for Single-to-Multi-Transmitter Scenario,Journal article,113725,41,"32-33, 87, 105","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; Why headline numbers cannot be compared directly. Context: nder that paper's normalisation window. & Recent dense path loss radio map reference, but on 256px USC/PMNet maps with a random 90/10 split, no CKM city holdout, no continuous transmitter height, and no spread targets. \\ PathFinder [citation] & 0.0331 normalized RMSE on RM3D DS-RPP, approximately 1.19dB with the 36dB RM3D image window convention; 0.3263 on","PathFinder para distribution shift en path loss, con atención mask guided low rank y métricas MSE, RMSE y DS-RPP.",SUPPORTED,"Local PDF supports distribution shift radio path loss prediction, mask guided low rank attention, 0.1068 MSE, 0.3263 RMSE, and DS-RPP RMSE 0.033069, which rounds to 0.0331.",No thesis wording change needed.
